game_id,game_name,description,occasion,genre,game_type,age_group,items_needed,difficulty,duration_minutes,min_players,max_players,setup_time_minutes,cleanup_time_minutes,energy_level,venue_type,cultural_origin,rules,variations,safety_considerations,tags_keywords,cost_estimation,facilitator_required,venue_suitability,popularity_rating,customization_options,rental_availability,source_reference,feedback_summary,last_updated,dressing_style,most_popular_area
G028,Pallanguzhi Play,"Pallanguzhi Play is a traditional mancala game that uses a wooden board and seeds. It is ideal for elders and family gatherings, promoting strategic thinking.",Family;Elderly,Traditional,Board,Adults (18+)/Seniors,"Pallanguzhi board, seeds","Medium",15,2,2,3,2,Low,Indoor,South India,"Players distribute seeds across pits; the one with the most seeds wins.","Variations in board design exist regionally.","Ensure pieces are non-toxic and boards are smooth.","strategic, cultural, board game",0,No,Indoor,4.4,"Boards can be handcrafted","No","Ancient game","Respected for its strategic depth.",2025-04-06,"Formal, Traditional",Tamil Nadu
G029,Kancha Combat,"Kancha Combat is a competitive marble game that adds a twist to traditional kancha play, suitable for kids and teens. It emphasizes precision and quick reflexes.",School;Birthday,Traditional,Solo,Kids (5-12)/Teens (13-17),"Marbles","Easy",12,2,6,2,2,Low,Outdoor,North India,"Flick marbles to hit target marbles; the closest gets extra points.","Team play variations exist.","Ensure safety with non-breakable marbles.","competitive, skill-based, traditional",5,No,School ground,4.1,"Marble colors can be customized","Yes","Local tradition","Popular in playgrounds.",2025-04-06,"Casual, Ethnic",Bihar
G030,Ring a Ring,"Ring a Ring is a fun circle game where participants hold hands and move in a circle before one person is chosen to be 'it'. Ideal for young kids and family fun.",Family;Birthday,Traditional,Group,Kids (5-12)/Family,"None","Easy",10,5,30,2,2,Low,Outdoor,Pan India,"Form a circle and sing; when the song ends, one is tagged and becomes 'it'.","Variations include freeze rounds.","Ensure the play area is free of obstacles.","friendly, playful, group",0,No,Open space,4.0,"Circle size can be adjusted","No","Childhood game","Cherished in neighborhoods.",2025-04-06,"Casual, Ethnic",Maharashtra
G031,Kho-Kho Rally,"Kho-Kho Rally is a variation of traditional kho-kho with added sprints and obstacle challenges. Designed for teenagers and adults, it promotes agility and team spirit.",Sports;School,Traditional,Team,Teens (13-17)/Adults (18+),"None","Medium",15,8,16,5,5,High,Outdoor,Western India,"Players chase and tag in a zigzag pattern; obstacles increase difficulty.","Timed relay variations available.","Ensure safe obstacles and proper footwear.","energetic, competitive, traditional",0,No,Sports field,4.3,"Course can be customized","No","Local sport","Popular in schools and sports meets.",2025-04-06,"Casual, Sporty",Maharashtra
G032,Chain Reaction,"Chain Reaction is a memory and strategy game where players connect words or numbers in a sequence. It’s great for cognitive development in kids and teens.",School;Family,Modern,Group,Kids (5-12)/Teens (13-17),"Paper, markers","Easy",15,2,6,5,3,Low,Indoor,Pan India,"Players take turns adding to a sequence based on a rule; mistakes break the chain.","Multiple themes (colors, animals, etc.) available.","Encourage calm and focus; supervision for younger kids recommended.","educational, fun, strategic",0,No,Classroom,4.2,"Themes can be personalized","No","Modern adaptation","Used in educational settings.",2025-04-06,"Casual, Trendy",Delhi
G033,Balloon Burst,"Balloon Burst is a fun party game where players try to burst balloons tied to their opponents. It’s designed for children and families, adding a burst of energy to events.",Birthday;Family,Modern,Group,Kids (5-12)/Family,"Balloons, strings","Easy",10,4,20,3,2,High,Outdoor,Pan India,"Tie balloons to ankles; the goal is to burst others while keeping yours intact.","Can include team-based rounds.","Watch out for sharp objects and overexcitement.","lively, colorful, party",5,No,Outdoor,4.1,"Balloon colors customizable","Yes","Party game","Favored at birthday parties.",2025-04-06,"Casual, Festive",Rajasthan
G034,Chain Dhol,"Chain Dhol is a musical relay game where players pass a dhol (drum) in rhythm. Perfect for weddings and festivals, it unites groups through music.",Wedding;Festival,Traditional,Dance,Family (all ages),"Dhol, sound system","Medium",20,4,50,5,5,Moderate,Indoor/Outdoor,North India,"Pass the dhol while dancing; the rhythm is maintained and the team with best coordination wins.","Can be adapted to include modern beats.","Ensure the dhol is safely handled to avoid injury.","musical, rhythmic, traditional",0,Yes,Open ground or hall,4.5,"Drum size and rhythm variations","No","Cultural music","A festive favorite.",2025-04-06,"Ethnic, Festive",Punjab
G035,Kho-Kho Express,"Kho-Kho Express is a high-speed variant of kho-kho where the chase is faster and more intense. Aimed at teens and young adults, it enhances sprinting skills.",Sports;School,Traditional,Team,Teens (13-17)/Adults (18+),"None","Hard",12,8,16,5,3,High,Outdoor,Western India,"Quick turns and sprints define the game; strict rules apply to maintain pace.","Shorter rounds for high intensity.","Ensure the playing field is clear and safe.","fast, agile, competitive",0,No,Outdoor,4.4,"Adjustable sprint intervals","No","Local sport","Popular in competitive schools.",2025-04-06,"Casual, Sporty",Maharashtra
G036,Ring & Run,"Ring & Run is a relay game combining tag and baton passing. Designed for children and families, it encourages teamwork and quick thinking.",Family;School,Modern,Team,Kids (5-12)/Family,"Baton or ring","Easy",15,6,20,3,3,Moderate,Outdoor,Pan India,"Pass the ring while running; any dropped ring resets the round.","Variations include timed rounds and obstacle courses.","Keep the track clear of hazards.","teamwork, relay, fun",0,No,Playground,4.2,"Track and baton options customizable","No","Modern game","Loved in school sports events.",2025-04-06,"Casual, Trendy",Karnataka
G037,Dholki Duel,"Dholki Duel is a rhythmic drumming contest where participants beat a dholki in a head-to-head format. It’s ideal for teenagers and young adults looking for a creative challenge.",Corporate;Festival,Traditional,Individual,Teens (13-17)/Adults (18+),"Dholki, drumsticks","Medium",10,2,2,3,2,Moderate,Indoor,North India,"Face-off duels where rhythm and speed determine the winner.","Round-robin or knockout styles available.","Use cushioned dholkis to avoid injuries.","rhythmic, musical, competitive",0,No,Indoor hall,4.3,"Drum size variations available","No","Traditional music","A hit at local melas.",2025-04-06,"Ethnic, Trendy",Uttar Pradesh
G038,Ludo Sprint,"Ludo Sprint is a fast-paced variant of the classic Ludo game where players race to complete the circuit. It’s ideal for families and competitive friends.",Family;Birthday,Modern,Board,Family (all ages),"Ludo board, dice, tokens","Easy",20,2,4,3,2,Low,Indoor,Pan India,"Standard Ludo rules with a sprint element added for speed; bonus moves apply.","Timed rounds increase excitement.","Keep dice and tokens secure.","fun, competitive, strategic",0,No,Indoor,4.3,"Token color variations available","No","Modern game","A refreshing twist on a classic.",2025-04-06,"Casual, Trendy",Delhi
G039,Ball Toss Mania,"Ball Toss Mania is a precision game where players throw balls into targets. Suitable for kids and families, it improves coordination and fun under pressure.",Family;Birthday,Modern,Solo,Kids (5-12)/Family,"Balls, targets","Easy",10,1,6,2,2,Moderate,Outdoor,Pan India,"Aim and throw balls into designated targets; each target carries points.","Target distance can be adjusted for difficulty.","Use soft balls to ensure safety.","fun, precise, outdoor",5,No,Open ground,4.1,"Target configurations customizable","Yes","Modern game","Popular at fairs.",2025-04-06,"Casual, Trendy",Rajasthan
G040,Paper Plane Rally,"Paper Plane Rally is a creative contest where participants make and fly paper airplanes. Great for all ages, it inspires creativity and light competition.",Family;School,Modern,Solo,Kids (5-12)/Family,"Paper, markers, scissors","Easy",15,1,10,5,3,Low,Indoor/Outdoor,Pan India,"Design and fly your paper plane; the farthest flight wins.","Can include themed design challenges.","Ensure safe scissors use during crafting.","creative, fun, innovative",2,No,Classroom or park,4.2,"Design themes available","No","DIY game","Beloved in classrooms.",2025-04-06,"Casual, Trendy",Delhi
G041,Chaat Chowka,"Chaat Chowka is a fun food-based game where teams answer questions related to local street foods. Ideal for adults and teens, it celebrates culinary culture.",Festival;Corporate,Modern,Team,Teens (13-17)/Adults (18+),"Question cards, buzzer","Easy",20,4,12,5,3,Low,Indoor,Pan India,"Teams answer food trivia; the fastest correct answer scores points.","Variations include blind tasting rounds.","Maintain hygiene during play.","culinary, quiz, fun",0,Yes,Indoor hall,4.4,"Quiz themes customizable","No","Modern quiz","Popular at food festivals.",2025-04-06,"Casual, Trendy",Maharashtra
G042,Marathon Matki,"Marathon Matki is a relay race involving carrying a clay pot (matki) filled with water. It’s best for adults and families, promoting teamwork and careful balance.",Festival;Family,Traditional,Team,Adults (18+)/Family,"Matki, water","Medium",15,6,20,5,5,High,Outdoor,North India,"Teams race while balancing the matki; spillage results in a penalty.","Variations with obstacles add to the challenge.","Ensure the pot is durable and the ground is even.","team, balance, traditional",0,No,Open ground,4.3,"Matki design can be traditional or modern","No","Traditional","A staple at Holi celebrations.",2025-04-06,"Ethnic, Casual",Uttar Pradesh
G043,Chor-Sipahi Chase,"Chor-Sipahi Chase is a role-playing game where players assume the roles of thief and guard. It is ideal for teens and families, fostering strategic thinking and fun.",Family;Birthday,Traditional,Group,Teens (13-17)/Family,"None","Medium",20,4,20,5,3,Moderate,Outdoor,Pan India,"Thieves try to steal while guards chase them; roles rotate each round.","Can include point systems for strategy.","Clear boundaries must be set to avoid collisions.","role-play, strategic, fun",0,No,Open area,4.2,"Game roles can be tailored","No","Traditional","Often played in community gatherings.",2025-04-06,"Casual, Ethnic",Rajasthan
G044,Paani Pukar,"Paani Pukar is a water balloon game that combines strategy with a cool-down twist, perfect for hot summer days and family picnics.",Family;Birthday,Modern,Team,Kids (5-12)/Family,"Water balloons, buckets","Easy",10,4,20,2,2,High,Outdoor,Pan India,"Teams throw water balloons to score points; strategic targeting is key.","Multiple rounds with varying rules.","Ensure safe water play and avoid slippery areas.","refreshing, fun, competitive",5,No,Outdoor,4.1,"Balloon sizes and water levels adjustable","Yes","Modern game","A summer favorite in many regions.",2025-04-06,"Casual, Festive",Maharashtra
G045,Paper Chain Relay,"Paper Chain Relay is a creative team game where participants create paper chains under time pressure. It’s ideal for schools and corporate team-building.",Corporate;School,Modern,Team,Kids (5-12)/Adults (18+),"Paper, scissors, glue","Easy",15,4,20,5,3,Low,Indoor,Pan India,"Teams link paper strips to form the longest chain; speed and creativity count.","Themes can vary from festive to corporate.","Watch for paper cuts and glue spills.","creative, team, craft",3,No,Indoor hall,4.3,"Chain design and color options available","No","DIY game","Well-liked for its simplicity.",2025-04-06,"Casual, Trendy",Delhi
G046,Stoop Challenge,"Stoop Challenge is a quick reaction game where players race to pick up objects from a stoop. It suits kids and adults in community settings.",Family;Festival,Modern,Solo,Kids (5-12)/Family,"Small objects, basket","Easy",10,1,6,2,2,High,Outdoor,Pan India,"Pick up scattered objects as fast as possible; fastest wins.","Can be adapted to include obstacles.","Ensure the area is safe and objects are soft.","quick, energetic, fun",0,No,Outdoor,4.0,"Object types customizable","No","Modern game","Gaining popularity in urban communities.",2025-04-06,"Casual, Trendy",Mumbai
G047,Chalk Art Combat,"Chalk Art Combat is a creative outdoor game where teams create art on a chalkboard ground and then compete on design. Ideal for children and families.",Family;Birthday,Modern,Team,Kids (5-12)/Family,"Chalk, outdoor board","Easy",20,4,20,5,3,Low,Outdoor,Pan India,"Teams are given themes to create chalk art; judges score creativity and execution.","Variations include speed rounds.","Ensure safe, non-toxic chalk is used.","creative, artistic, fun",2,No,Outdoor pavement,4.2,"Themes and judging criteria customizable","No","Art game","A hit at school festivals.",2025-04-06,"Casual, Trendy",Kerala
G048,Antakshari Remix,"Antakshari Remix is a modern spin on the classic singing game with a playlist of popular Bollywood and regional songs. Perfect for parties and family events.",Family;Wedding,Modern,Group,Family (all ages),"None","Easy",30,4,30,5,5,Moderate,Indoor,Pan India,"Players sing songs starting with the ending syllable of the previous song; remix rounds include modern hits.","Digital karaoke integration available.","Use quality sound equipment for clear audio.","musical, modern, interactive",0,No,Indoor,4.5,"Playlist can be tailored","No","Modern twist","A crowd-pleaser at weddings.",2025-04-06,"Casual, Trendy",Mumbai
G049,Stick & Stone,"Stick & Stone is a precision game where players use a stick to flick a stone into targets. Suitable for children and teens, it builds concentration and skill.",School;Birthday,Traditional,Solo,Kids (5-12)/Teens (13-17),"Stick, stone, target board","Easy",10,1,6,2,2,Low,Outdoor,North India,"Flick the stone using a stick to hit targets marked on the board; score is based on accuracy.","Distance and target size can be adjusted.","Ensure stones are smooth to prevent injury.","precision, traditional, fun",0,No,School ground,4.1,"Target design customizable","Yes","Local game","Common in rural schoolyards.",2025-04-06,"Casual, Ethnic",Uttar Pradesh
G050,Pot Pong,"Pot Pong is a variation of the classic beer pong, using decorative pots and balls. It’s geared for adults (18+) at casual parties and events.",Party;Corporate,Modern,Team,Adults (18+),"Pots, soft balls, table","Medium",15,2,6,3,2,Moderate,Indoor,Pan India,"Teams toss balls aiming for the pot; scoring is based on pot location.","Can be adjusted for family-friendly play with non-alcoholic rules.","Ensure pots are sturdy and balls are soft.","party, fun, modern",10,Yes,Indoor,4.2,"Pot design and table size adjustable","No","Modern party","Gaining traction at urban parties.",2025-04-06,"Trendy, Casual",Delhi
